stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
19,1201,"Hillsborough St at Mayo St (EB)",,35.781524,-78.653343,,,,,,0
27,1284,"Wilmington St at Cabarrus St",,35.774364,-78.638356,,,,,,0
33,1539,"Hammond Rd at Chapanoke Rd (SECU)",,35.735380,-78.640415,,,,,,0
34,1540,"Hammond Rd at Chapanoke Rd (Detention Center)",,35.735252,-78.640096,,,,,,0
35,1703,"Hillsborough St at Dawson St",,35.780484,-78.644119,,,,,,0
36,1734,"Wilmington St at Hargett St",,35.778082,-78.638152,,,,,,0
38,1811,"White St at Elm Ave",,35.975644,-78.510643,,,,,,0
39,1812,"WF Crossing Shopping Center at Lowes Foods",,35.985960,-78.533880,,,,,,0
40,1813,"Stadium Dr at Whistling Swan Dr",,35.988040,-78.523430,,,,,,0
41,1814,"Stadium Dr at McDowell Dr",,35.986200,-78.521090,,,,,,0
42,1815,"Stadium Dr at Wake Forest-Rolesvill",,35.983080,-78.515500,,,,,,0
43,1816,"North Ave at Wingate St (SBTS)",,35.982030,-78.512090,,,,,,0
44,1817,"White St at Roosevelt Ave",,35.979790,-78.509060,,,,,,0
45,1818,"Juniper Ave at White St",,35.984490,-78.505610,,,,,,0
46,1819,"Juniper Ave at Taylor St",,35.983600,-78.503420,,,,,,0
48,1820,"Allen Rd at Juniper Ave",,35.982220,-78.500630,,,,,,0
49,1821,"Allen Rd at Best St",,35.978710,-78.500720,,,,,,0
50,1822,"Wait Ave at Highgate Dr",,35.977110,-78.504040,,,,,,0
51,1823,"Roosevelt Ave at Brooks St",,35.978680,-78.507760,,,,,,0
52,1824,"White St at Jones Ave",,35.978189,-78.509750,,,,,,0
53,1825,"Holding Ave at Northern Regional Center",,35.970656,-78.510925,,,,,,0
54,1826,"Franklin St at Yellow Poplar Ave",,35.967538,-78.510431,,,,,,0
58,1830,"S Main St at Rogers Rd (Wake Forest Middle School)",,35.953150,-78.527460,,,,,,0
59,1831,"S Main St at Ligon Mill Rd",,35.949980,-78.530850,,,,,,0
60,1832,"S Main St at Aldi Food Market",,35.947769,-78.535385,,,,,,0
62,1834,"Common Oaks Dr at Chriswick House L",,35.944200,-78.548310,,,,,,0
