trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1622020,1,1,"DOWNTOWN",,1,8002,shp-1-01,0,0
3787020,1,1,"DOWNTOWN",,1,502,shp-1-01,0,0
1113050,1,3,"DOWNTOWN",,1,8005,shp-1-01,0,0
137050,1,3,"DOWNTOWN",,1,2605,shp-1-01,0,0
1255070,1,4,"DOWNTOWN",,1,4407,shp-1-01,0,0
125020,1,1,"DOWNTOWN",,1,1202,shp-1-01,0,0
1256020,1,1,"DOWNTOWN",,1,1802,shp-1-01,0,0
1778010,1,2,"DOWNTOWN",,1,5901,shp-1-01,0,0
2975010,1,2,"DOWNTOWN",,1,6001,shp-1-01,0,0
1495070,1,4,"DOWNTOWN",,1,2907,shp-1-01,0,0
2054050,1,3,"DOWNTOWN",,1,1005,shp-1-01,0,0
1805050,1,3,"DOWNTOWN",,1,1205,shp-1-01,0,0
1322070,1,4,"DOWNTOWN",,1,6107,shp-1-02,0,0
1113020,1,1,"DOWNTOWN",,1,8002,shp-1-01,0,0
1622050,1,3,"DOWNTOWN",,1,8005,shp-1-01,0,0
862020,1,1,"DOWNTOWN",,1,2002,shp-1-01,0,0
1354020,1,1,"DOWNTOWN",,1,802,shp-1-01,0,0
5084020,1,1,"DOWNTOWN",,1,1102,shp-1-01,0,0
4497020,1,1,"DOWNTOWN",,1,1902,shp-1-01,0,0
933050,1,3,"DOWNTOWN",,1,1805,shp-1-01,0,0
4748050,1,3,"DOWNTOWN",,1,2105,shp-1-01,0,0
3006010,1,2,"DOWNTOWN",,1,2101,shp-1-01,0,0
2056070,1,4,"DOWNTOWN",,1,7207,shp-1-01,0,0
2017010,1,2,"DOWNTOWN",,1,2101,shp-1-01,0,0
187050,1,3,"DOWNTOWN",,1,2105,shp-1-01,0,0
2839050,1,3,"DOWNTOWN",,1,605,shp-1-01,0,0
4816070,1,4,"DOWNTOWN",,1,5307,shp-1-01,0,0
4123050,1,3,"DOWNTOWN",,1,905,shp-1-01,0,0
5210020,1,1,"DOWNTOWN",,1,1102,shp-1-01,0,0
1270010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
2593050,1,3,"DOWNTOWN",,1,1805,shp-1-01,0,0
3017010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
2964050,1,3,"DOWNTOWN",,1,2205,shp-1-01,0,0
4610020,1,1,"DOWNTOWN",,1,1302,shp-1-01,0,0
3556010,1,2,"DOWNTOWN",,1,6101,shp-1-01,0,0
4655020,1,1,"DOWNTOWN",,1,2302,shp-1-01,0,0
4451010,1,2,"DOWNTOWN",,1,3401,shp-1-01,0,0
596070,1,4,"DOWNTOWN",,1,2907,shp-1-01,0,0
4184050,1,3,"DOWNTOWN",,1,2605,shp-1-01,0,0
2839020,1,1,"DOWNTOWN",,1,602,shp-1-01,0,0
5171020,1,1,"DOWNTOWN",,1,1702,shp-1-01,0,0
2054020,1,1,"DOWNTOWN",,1,1002,shp-1-01,0,0
3618020,1,1,"DOWNTOWN",,1,2002,shp-1-01,0,0
4800070,1,4,"DOWNTOWN",,1,5007,shp-1-01,0,0
1907020,1,1,"DOWNTOWN",,1,702,shp-1-01,0,0
1680050,1,3,"DOWNTOWN",,1,8405,shp-1-01,0,0
4876010,1,2,"DOWNTOWN",,1,3701,shp-1-01,0,0
3074020,1,1,"DOWNTOWN",,1,2702,shp-1-01,0,0
4242020,1,1,"DOWNTOWN",,1,2202,shp-1-01,0,0
1041010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
2692070,1,4,"DOWNTOWN",,1,3007,shp-1-01,0,0
620010,1,2,"DOWNTOWN",,1,2101,shp-1-01,0,0
2456070,1,4,"DOWNTOWN",,1,5507,shp-1-01,0,0
1518010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
2381020,1,1,"DOWNTOWN",,1,702,shp-1-01,0,0
